interest_rate,income_ver,debt_to_income,credit_util,bankruptcy,term,issue,credit_checks,credit_utilized
14.07,Verified,18.01,0.547595169,0,60,3,6,38767
12.61,Not Verified,5.04,0.150034722,1,36,2,1,4321
17.09,Source Verified,21.15,0.661348324,0,36,2,4,16000
6.72,Not Verified,10.16,0.196732283,0,36,1,0,4997
14.07,Verified,57.96,0.754907716,0,36,3,7,52722
6.72,Not Verified,6.46,0.092589074,0,36,1,6,3898
13.59,Source Verified,23.66,0.064813673,0,60,1,1,18916
11.99,Source Verified,16.19,0.177617896,0,60,1,1,60805
13.59,Source Verified,36.48,0.245633674,0,36,2,3,69561
6.71,Not Verified,18.91,0.536570635,0,36,3,0,17768
15.04,Verified,10.45,0.580605077,1,60,3,4,22895
9.92,Source Verified,1.82,0.124206488,0,60,3,4,55939
13.59,Source Verified,12.06,0.165602729,0,36,2,8,43686
9.43,Source Verified,3.67,0.055352711,0,60,2,6,14387
19.03,Verified,33.98,0.357675373,1,36,1,0,26483
19.03,Not Verified,38.46,0.552220151,0,60,2,0,75552
19.03,Not Verified,31.22,0.247981828,0,60,1,4,93016
28.72,Source Verified,20.33,0.932712057,0,60,1,6,54947
26.77,Verified,9.53,0.228864821,0,36,2,2,73705
15.05,Source Verified,18.44,0.071119005,0,60,1,1,39482
6.08,Not Verified,15.6,0.257818611,0,36,1,0,18128
11.98,Source Verified,32,0.174649325,1,36,3,4,47575
13.59,Not Verified,26.53,0.267046739,0,60,2,1,151251
6.71,Verified,7.27,0.032385248,0,36,3,1,6103
7.96,Not Verified,17.31,1.057348109,0,36,3,1,69177
12.61,Source Verified,14.42,0.087360154,0,60,2,0,17296
11.98,Source Verified,13.68,0.635864506,0,36,3,7,26637
7.34,Not Verified,19.38,0.522381256,0,36,2,0,22920
5.32,Not Verified,11,0.256035714,0,36,1,0,14338
6.07,Source Verified,2.88,0.016907015,0,36,3,2,2489
12.62,Verified,26.25,0.260460571,0,36,2,2,105548
9.44,Source Verified,24.9,0.644714164,0,60,2,1,497876
19.03,Verified,36.75,0.209264449,0,60,2,0,51523
20.39,Source Verified,28.3,0.455054542,0,60,3,0,113927
9.93,Not Verified,13.82,0.110330483,0,60,1,2,69647
6.08,Source Verified,0,0.003026316,0,36,1,0,92
21.45,Source Verified,10.59,0.917517241,0,36,1,1,13304
15.04,Verified,17.06,0.082370638,0,60,3,2,29954
10.42,Not Verified,18.53,0.620717204,0,36,1,2,34186
12.61,Source Verified,7.1,0.246264618,0,36,2,0,10466
18.06,Not Verified,24.79,0.535207024,1,60,1,0,12435
11.99,Source Verified,15.72,0.660050463,0,60,2,8,51012
15.05,Source Verified,14.82,0.58802704,0,60,1,0,44015
15.05,Source Verified,25.89,0.719119314,0,36,2,1,31094
12.62,Source Verified,13.51,0.123589517,0,60,2,2,49857
6.72,Not Verified,10.71,0.143271662,1,36,1,4,26515
6.71,Not Verified,2.68,0.107644039,0,36,3,0,18870
15.05,Verified,25.7,0.461499096,0,36,2,0,13527
9.93,Not Verified,3.64,0.307888889,0,60,1,0,5542
10.42,Source Verified,17.24,0.494718432,0,36,1,2,199983
22.91,Verified,18.72,0.175210826,0,60,2,6,69124
30.79,Not Verified,19.64,0.612080491,0,60,1,1,53109
15.05,Source Verified,9.12,0.460465928,0,60,2,0,34313
6.07,Source Verified,22.91,0.283856414,0,36,3,0,63799
6.07,Not Verified,21.41,0.186589046,0,36,3,1,52244
17.47,Source Verified,13.05,0.032748851,0,36,3,0,4277
7.34,Verified,20.16,0.082774655,0,36,3,4,30262
13.59,Verified,39.08,0.349383686,1,36,2,8,51162
6.72,Not Verified,14.62,0.065487609,0,36,1,2,24135
5.31,Not Verified,11.64,0.561645368,0,36,2,1,45181
9.93,Verified,12.15,0.222057258,1,36,1,8,21687
9.92,Source Verified,12.58,0.395978552,0,36,3,0,14770
9.93,Not Verified,16.73,0.835974843,0,36,2,0,53168
14.07,Verified,28.13,0.196179337,0,60,3,1,88594
7.97,Source Verified,7.89,0.447600716,0,36,2,1,43253
5.31,Not Verified,15.42,0.116390087,0,36,3,0,33890
9.93,Not Verified,32.4,0.338296459,0,60,2,1,23425
14.08,Source Verified,17.28,0.766968798,1,60,1,2,36724
12.61,Not Verified,32.06,0.165862272,0,36,3,0,63783
12.62,Source Verified,3.7,0.424736842,0,36,1,1,807
17.47,Source Verified,22.09,0.806355835,0,36,3,6,24714
12.62,Source Verified,16.26,0.344347225,0,36,1,2,14955
6.71,Source Verified,8.72,0.398363636,0,36,3,0,19719
19.42,Source Verified,16.3,0.76534585,0,60,3,1,42068
12.62,Source Verified,16.04,0.315848131,0,36,2,3,59514
14.08,Not Verified,28.42,0.130698785,0,60,1,0,24861
10.91,Verified,21.94,0.313159851,0,36,1,1,4212
17.47,Verified,19.22,0.988998947,0,36,2,3,68594
18.06,Verified,37.74,0.854640118,0,36,1,1,36441
16.02,Verified,15.44,0.062867741,1,36,1,2,13559
19.03,Verified,18.39,0.181658061,0,36,2,3,31663
12.62,Source Verified,27.23,0.415759585,1,36,1,7,65964
6.07,Source Verified,11.14,0.681078366,0,36,2,2,70510
9.43,Source Verified,1.56,0.019068736,0,60,3,3,860
