"","interest_rate","income_ver","debt_to_income","credit_util","bankruptcy","term","issue","credit_checks"
"1",14.07,"Verified",18.01,"0.548","no",60,3,6
"2",12.61,"Not Verified",5.04,"0.150","yes",36,2,1
"3",17.09,"Source Verified",21.15,"0.661","no",36,2,4
"4",6.72,"Not Verified",10.16,"0.197","no",36,1,0
"5",14.07,"Verified",57.96,"0.755","no",36,3,7
"6",6.72,"Not Verified",6.46,"0.093","no",36,1,6
"7",13.59,"Source Verified",23.66,"0.065","no",60,1,1
"8",11.99,"Source Verified",16.19,"0.178","no",60,1,1
"9",13.59,"Source Verified",36.48,"0.246","no",36,2,3
"10",6.71,"Not Verified",18.91,"0.537","no",36,3,0
"11",15.04,"Verified",10.45,"0.581","yes",60,3,4
"12",9.92,"Source Verified",1.82,"0.124","no",60,3,4
"13",13.59,"Source Verified",12.06,"0.166","no",36,2,8
"14",9.43,"Source Verified",3.67,"0.055","no",60,2,6
"15",19.03,"Verified",33.98,"0.358","yes",36,1,0
"16",19.03,"Not Verified",38.46,"0.552","no",60,2,0
"17",19.03,"Not Verified",31.22,"0.248","no",60,1,4
"18",28.72,"Source Verified",20.33,"0.933","no",60,1,6
"19",26.77,"Verified",9.53,"0.229","no",36,2,2
"20",15.05,"Source Verified",18.44,"0.071","no",60,1,1
"21",6.08,"Not Verified",15.6,"0.258","no",36,1,0
"22",11.98,"Source Verified",32,"0.175","yes",36,3,4
"23",13.59,"Not Verified",26.53,"0.267","no",60,2,1
"24",6.71,"Verified",7.27,"0.032","no",36,3,1
"25",7.96,"Not Verified",17.31,"1.057","no",36,3,1
"26",12.61,"Source Verified",14.42,"0.087","no",60,2,0
"27",11.98,"Source Verified",13.68,"0.636","no",36,3,7
"28",7.34,"Not Verified",19.38,"0.522","no",36,2,0
"29",5.32,"Not Verified",11,"0.256","no",36,1,0
"30",6.07,"Source Verified",2.88,"0.017","no",36,3,2
"31",12.62,"Verified",26.25,"0.260","no",36,2,2
"32",9.44,"Source Verified",24.9,"0.645","no",60,2,1
"33",19.03,"Verified",36.75,"0.209","no",60,2,0
"34",20.39,"Source Verified",28.3,"0.455","no",60,3,0
"35",9.93,"Not Verified",13.82,"0.110","no",60,1,2
"36",6.08,"Source Verified",0,"0.003","no",36,1,0
"37",21.45,"Source Verified",10.59,"0.918","no",36,1,1
"38",15.04,"Verified",17.06,"0.082","no",60,3,2
"39",10.42,"Not Verified",18.53,"0.621","no",36,1,2
"40",12.61,"Source Verified",7.1,"0.246","no",36,2,0
"41",18.06,"Not Verified",24.79,"0.535","yes",60,1,0
"42",11.99,"Source Verified",15.72,"0.660","no",60,2,8
"43",15.05,"Source Verified",14.82,"0.588","no",60,1,0
"44",15.05,"Source Verified",25.89,"0.719","no",36,2,1
"45",12.62,"Source Verified",13.51,"0.124","no",60,2,2
"46",6.72,"Not Verified",10.71,"0.143","yes",36,1,4
"47",6.71,"Not Verified",2.68,"0.108","no",36,3,0
"48",15.05,"Verified",25.7,"0.461","no",36,2,0
