OID_,id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,city,neighborhood,park,x_longitude,y_latitude,shape_wkt,POINT_X,POINT_Y
1,44855,"Maple, Red",Acer rubrum,1,6-12in,7,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0797577,42.351593,POINT (-71.07975840499995 42.35159273000005),-71.0797584,42.35159273
2,44856,"Zelkova, Japanese",Zelkova serrata,1,18-24in,23,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0797729,42.3513336,POINT (-71.079771815999948 42.351334049000059),-71.07977182,42.35133405
3,44857,"Oak, Chinkapin",Quercus muehlenbergii,1,3-6in,3,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0798035,42.3514175,POINT (-71.079805343999965 42.351419285000077),-71.07980534,42.35141929
4,44858,"Zelkova, Japanese",Zelkova serrata,1,12-18in,16,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0798264,42.3515053,POINT (-71.079822777999937 42.351504521000038),-71.07982278,42.35150452
5,44859,"Elm, American",Ulmus americana,1,>30in,47,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0798645,42.3515625,POINT (-71.079864351999959 42.351561014000026),-71.07986435,42.35156101
6,44860,"Elm, American",Ulmus americana,1,12-18in,12,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0798645,42.3513069,POINT (-71.079861669999957 42.351308280000069),-71.07986167,42.35130828
7,44861,"Zelkova, Japanese",Zelkova serrata,1,24-30in,24,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.079895,42.3513908,POINT (-71.079893856999945 42.351390543000036),-71.07989386,42.35139054
8,44862,"Elm, Princeton",Ulmus americana 'Princeton',1,3-6in,4,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0799255,42.3514595,POINT (-71.079923360999942 42.351457938000067),-71.07992336,42.35145794
9,44863,"Zelkova, Japanese",Zelkova serrata,1,12-18in,16,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0799561,42.3515358,POINT (-71.079958229999988 42.351534254000057),-71.07995823,42.35153425
10,44864,"Elm, American",Ulmus americana,1,6-12in,8,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0799561,42.3512878,POINT (-71.07995554699994 42.351289449000035),-71.07995555,42.35128945
11,44865,"Zelkova, Japanese",Zelkova serrata,1,18-24in,21,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0800323,42.3514404,POINT (-71.080031989999952 42.351439107000033),-71.08003199,42.35143911
12,44866,"Maple, Silver",Acer saccharinum,1,12-18in,12,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0800629,42.3515015,POINT (-71.080065517999969 42.351502538000034),-71.08006552,42.35150254
13,44867,"Elm, English",Ulmus procera,1,>30in,37,--,Boston,Back Bay/Beacon Hill,Commonwealth Avenue Mall,-71.0800705,42.3512573,POINT (-71.080069540999943 42.351256742000032),-71.08006954,42.35125674
14,44874,"Oak, Northern Red",Quercus rubra,1,24-30in,25,--,Boston,Roxbury,Cedar Square Park,-71.0894852,42.3246918,POINT (-71.089481827999975 42.324691582000071),-71.08948183,42.32469158
15,44875,"Oak, Northern Red",Quercus rubra,1,24-30in,25,--,Boston,Roxbury,Cedar Square Park,-71.0893936,42.3246117,POINT (-71.089391973999966 42.324610276000044),-71.08939197,42.32461028
16,44876,"Oak, Northern Red",Quercus rubra,1,18-24in,23,--,Boston,Roxbury,Cedar Square Park,-71.0893478,42.3248138,POINT (-71.089349058999971 42.32481552400003),-71.08934906,42.32481552
17,44877,"Oak, Northern Red",Quercus rubra,2,>30in,31,--,Boston,Roxbury,Cedar Square Park,-71.0897141,42.3248138,POINT (-71.089713838999955 42.324812549000058),-71.08971384,42.32481255
18,44878,"Linden, Littleleaf",Tilia cordata,1,18-24in,19,--,Boston,Roxbury,Cedar Square Park,-71.0892944,42.324749,POINT (-71.089291390999961 42.324747108000054),-71.08929139,42.32474711
19,44909,"Honeylocust, Thornless",Gleditsia triacanthos inermis,1,0-3in,2,Fall 2022,Boston,Dorchester,Harambee Park,-71.0858231,42.2930756,POINT (-71.08582556999994 42.293075714000054),-71.08582557,42.29307571
